episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-1.4230174891545058,-1.7135369997300829,-0.33993873636317845,-11.296150088310242,1.7579498589038849,[-11.296150088310242 1.7579498589038849],0.0,False,True,0.8445436443489067,1,16.59809003658851,6.984,prepare,0.0
0,2.0,-1.4231961827317627,-1.7135305526876827,-0.338507865977515,-12.084031999111176,1.7390804067254066,[-12.084031999111176 1.7390804067254066],1.0,False,True,0.8434665395971584,1,16.59809003658851,7.048,in_progress,0.0
0,3.0,-1.4141850935960802,-1.7115391985036346,0.15574769814436545,-20.24618625640869,1.6277318075299263,[-20.24618625640869 1.6277318075299263],1.0,False,True,0.8975390401361021,1,16.59809003658851,7.114,in_progress,0.0
0,4.0,-1.3912844394071366,-1.7157116635114278,-0.8699206316557537,1.7459890991449356,2.4156618863344193,[1.7459890991449356 2.4156618863344193],1.0,False,True,1.0359279533935795,1,16.59809003658851,7.182,in_progress,0.0
0,5.0,-1.3491100512623722,-1.7159481261862186,-0.6878838670399774,20.19942283630371,2.75,[20.19942283630371 2.75],1.0,False,True,1.2900059871948164,2,16.59809003658851,7.25,in_progress,0.0
0,6.0,-1.2958275940156194,-1.6996237988159573,3.320167668216698,-24.33696985244751,2.52286396920681,[-24.33696985244751 2.52286396920681],1.0,False,True,1.609258146404312,2,16.59809003658851,7.311,in_progress,0.0
0,7.0,-1.2320167245884264,-1.6800359760832697,6.783886468852978,-11.040139496326447,1.25,[-11.040139496326447 1.25],1.0,False,True,1.9915893479998628,2,16.59809003658851,7.383,in_progress,0.0
0,8.0,-1.1544927028435952,-1.6791028385063838,5.012792015009969,-7.214798927307129,1.3660493046045303,[-7.214798927307129 1.3660493046045303],1.0,False,True,2.45848626722392,3,16.59809003658851,7.451,in_progress,0.0
0,9.0,-1.0759900322065505,-1.6846376670393057,2.2781853402990815,-8.420860469341278,2.424194574356079,[-8.420860469341278 2.424194574356079],1.0,False,True,2.9314493465554716,3,16.59809003658851,7.514,in_progress,0.0
0,10.0,-0.987098491990043,-1.6951957266399023,-0.8349810420225319,-29.94856595993042,2.75,[-29.94856595993042 2.75],1.0,False,True,3.468158621601134,3,16.59809003658851,7.584,in_progress,0.0
0,11.0,-0.876515553248766,-1.7246288826949385,-6.883975393748596,30.0,1.7371594086289406,[30.0 1.7371594086289406],1.0,False,True,4.1377841227358765,4,16.59809003658851,7.652,in_progress,0.0
0,12.0,-0.7666009905794318,-1.7628105304899107,-13.253519817339948,19.377089738845825,2.5651799738407135,[19.377089738845825 2.5651799738407135],1.0,False,True,4.803364258875977,4,16.59809003658851,7.715,in_progress,0.0
0,13.0,-0.6436519598275819,-1.7840860925097837,-12.110415188304636,-5.096700489521027,2.320770226418972,[-5.096700489521027 2.320770226418972],1.0,False,True,5.545952305100861,5,16.59809003658851,7.786,in_progress,0.0
0,14.0,-0.5043740562374682,-1.8058469745438799,-10.669771076707864,-28.837748765945435,2.75,[-28.837748765945435 2.75],1.0,False,True,6.382456028838228,5,16.59809003658851,7.846,in_progress,0.0
0,15.0,-0.3505816753747594,-1.8472050563307962,-13.30108075458747,30.0,2.39125619828701,[30.0 2.39125619828701],0.5,False,True,7.310322173490717,6,16.59809003658851,7.916,in_progress,0.0
0,16.0,-0.20844303665147482,-1.8906304154361397,-14.984171828908746,26.283574104309082,1.25,[26.283574104309082 1.25],0.5,False,True,8.168043540628123,6,16.59809003658851,7.972,in_progress,0.0
0,17.0,-0.07477554716580578,-1.916025492437772,-12.901776462761813,6.452343016862869,1.25,[6.452343016862869 1.25],0.5,False,True,8.960090261633768,6,16.59809003658851,8.044,in_progress,0.0
0,18.0,0.033471168981714955,-1.9292588750511932,-10.421900636630252,14.751893877983093,1.543753296136856,[14.751893877983093 1.543753296136856],0.5,False,True,9.611649746464021,7,16.59809003658851,8.116,in_progress,0.0
0,19.0,0.1564901434187908,-1.9309990769503014,-6.184022475288044,21.18807077407837,2.75,[21.18807077407837 2.75],0.5,False,True,10.333974968407594,7,16.59809003658851,8.181,in_progress,0.0
0,20.0,0.27073829315851416,-1.9212440092979857,-1.502197864816602,-7.402167320251465,2.2373111695051193,[-7.402167320251465 2.2373111695051193],0.5,False,True,11.023452537309906,8,16.59809003658851,8.255,in_progress,0.0
0,21.0,0.40624317274321575,-1.9087302176825247,2.3328950097024013,30.0,1.9117695949971676,[30.0 1.9117695949971676],0.5,False,True,11.841341639207307,8,16.59809003658851,8.316,in_progress,0.0
0,22.0,0.526093830202569,-1.9031167138609433,2.5622124599308393,30.0,1.9274721015244722,[30.0 1.9274721015244722],0.5,False,True,12.560196304291809,8,16.59809003658851,8.379,in_progress,0.0
0,23.0,0.6603597822625328,-1.8837224054289203,5.2989766652804375,30.0,2.0633760280907154,[30.0 2.0633760280907154],0.5,False,True,13.3718969648895,9,16.59809003658851,8.447,in_progress,0.0
0,24.0,0.8066442187158442,-1.845466407233407,10.197926989774642,11.763554513454437,2.4691018611192703,[11.763554513454437 2.4691018611192703],0.5,False,True,14.2864266562398,9,16.59809003658851,8.512,in_progress,0.0
0,25.0,0.9504653560377411,-1.7969627530306793,14.680824042949503,-17.397340536117554,1.7172889560461044,[-17.397340536117554 1.7172889560461044],1.0,False,True,15.150450921065264,10,16.59809003658851,8.573,in_progress,0.0
