episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-1.4230322830199347,-1.713536210592191,-0.33977848846947784,-2.089534252882004,1.3287355080246925,[-2.089534252882004 1.3287355080246925],0.0,False,True,0.8444544450807963,1,16.59809003658851,6.995,prepare,0.0
0,2.0,-1.4231961827317627,-1.7135305526876827,-0.338507865977515,-1.5362825989723206,1.333296000957489,[-1.5362825989723206 1.333296000957489],1.0,False,True,0.8434665395971584,1,16.59809003658851,7.057,in_progress,0.0
0,3.0,-1.4130402086567089,-1.7126854102762952,-0.14079981685760504,-0.09654267691075802,1.349079169332981,[-0.09654267691075802 1.349079169332981],1.0,False,True,0.9045560763780283,1,16.59809003658851,7.125,in_progress,0.0
0,4.0,-1.3848104224884035,-1.7116840139794947,0.10318412123995935,-2.8334328532218933,1.3827257603406906,[-2.8334328532218933 1.3827257603406906],1.0,False,True,1.0745035660745526,1,16.59809003658851,7.189,in_progress,0.0
0,5.0,-1.3494758682638917,-1.7117113252818004,0.07213338418531406,-8.533086776733398,1.3133660927414894,[-8.533086776733398 1.3133660927414894],1.0,False,True,1.2873573342712172,2,16.59809003658851,7.257,in_progress,0.0
0,6.0,-1.2986607609261251,-1.715684121275864,-0.862964434233281,0.7346845418214798,1.3366344347596169,[0.7346845418214798 1.3366344347596169],1.0,False,True,1.5938784212546002,2,16.59809003658851,7.324,in_progress,0.0
0,7.0,-1.2204759074240223,-1.7131615216450513,-0.025801793525859745,-2.0547332614660263,1.2836103811860085,[-2.0547332614660263 1.2836103811860085],1.0,False,True,2.064589156623744,2,16.59809003658851,7.39,in_progress,0.0
0,8.0,-1.1565474114942782,-1.7111877115532477,0.3633411485310717,-7.836340963840485,1.3024449869990349,[-7.836340963840485 1.3024449869990349],1.0,False,True,2.4494790342406034,3,16.59809003658851,7.453,in_progress,0.0
0,9.0,-1.0760202403618537,-1.7119516304123434,0.07334637700248925,-2.637457922101021,1.3864095285534859,[-2.637457922101021 1.3864095285534859],1.0,False,True,2.934531772919368,3,16.59809003658851,7.527,in_progress,0.0
0,10.0,-0.9886529659781786,-1.7115538456736314,0.08823153342502062,-0.8924516290426254,1.3334387391805649,[-0.8924516290426254 1.3334387391805649],1.0,False,True,3.46075010238929,3,16.59809003658851,7.5920000000000005,in_progress,0.0
0,11.0,-0.8958256885955388,-1.7115707501388122,0.03653910494148753,-1.1248571053147316,1.3172162473201752,[-1.1248571053147316 1.3172162473201752],1.0,False,True,4.019906889154385,4,16.59809003658851,7.663,in_progress,0.0
0,12.0,-0.7957429996122968,-1.7072992980919086,0.8983572341125765,-0.16512452624738216,1.3479991108179092,[-0.16512452624738216 1.3479991108179092],1.0,False,True,4.622774085304873,4,16.59809003658851,7.732,in_progress,0.0
0,13.0,-0.7026278918695499,-1.7024795946749787,1.6203085903171548,-0.7458110153675079,1.3856924623250961,[-0.7458110153675079 1.3856924623250961],1.0,False,True,5.183272212091404,4,16.59809003658851,7.784,in_progress,0.0
0,14.0,-0.6136328269562119,-1.6954436872228416,2.625176214908602,-3.5817597806453705,1.4334706962108612,[-3.5817597806453705 1.4334706962108612],1.0,False,True,5.718749722511377,5,16.59809003658851,7.863,in_progress,0.0
0,15.0,-0.5160020639169242,-1.6904943226662512,2.6885413940414056,-7.488515228033066,1.4743408560752869,[-7.488515228033066 1.4743408560752869],1.0,False,True,6.306438876316592,5,16.59809003658851,7.921,in_progress,0.0
0,16.0,-0.42198410168251144,-1.690170255948011,1.821904355998606,-6.908393204212189,1.4321391806006432,[-6.908393204212189 1.4321391806006432],1.0,False,True,6.875160953803753,5,16.59809003658851,7.994,in_progress,0.0
0,17.0,-0.30539385352994985,-1.6926358326042155,0.4762880764856734,-6.801349371671677,1.3648713454604149,[-6.801349371671677 1.3648713454604149],1.0,False,True,7.5776611563251235,6,16.59809003658851,8.062,in_progress,0.0
0,18.0,-0.21521107145627486,-1.6982574092233227,-0.9239565979132253,-5.999107360839844,1.2611810341477394,[-5.999107360839844 1.2611810341477394],1.0,False,True,8.121164275984317,6,16.59809003658851,8.125,in_progress,0.0
0,19.0,-0.10306872903573969,-1.7049076526483216,-1.9338015268946056,-8.991362750530243,1.25,[-8.991362750530243 1.25],1.0,False,True,8.798991958519768,6,16.59809003658851,8.19,in_progress,0.0
0,20.0,-0.027029770145170662,-1.7135115744491045,-3.269921198589273,-7.760190367698669,1.25,[-7.760190367698669 1.25],1.0,False,True,9.256716929601899,7,16.59809003658851,8.259,in_progress,0.0
0,21.0,0.06284851621368702,-1.7254428206609675,-4.70209243778062,-2.93621264398098,1.25,[-2.93621264398098 1.25],1.0,False,True,9.79767120049108,7,16.59809003658851,8.327,in_progress,0.0
0,22.0,0.15353529708784827,-1.736133077973648,-5.427958455757873,2.432115152478218,1.25,[2.432115152478218 1.25],1.0,False,True,10.342820605861846,7,16.59809003658851,8.387,in_progress,0.0
0,23.0,0.23790910015617903,-1.7464485469816273,-5.941750066520905,3.367721736431122,1.25,[3.367721736431122 1.25],1.0,False,True,10.849613698504443,7,16.59809003658851,8.459,in_progress,0.0
0,24.0,0.32197083830285156,-1.7495176836923716,-4.687517984722163,0.5952830985188484,1.25,[0.5952830985188484 1.25],1.0,False,True,11.355517916785798,8,16.59809003658851,8.524000000000001,in_progress,0.0
0,25.0,0.40972662998954235,-1.7548184928427486,-4.316618269924843,0.4658162500709295,1.25,[0.4658162500709295 1.25],1.0,False,True,11.883367169378326,8,16.59809003658851,8.596,in_progress,0.0
